id;grupa;prompt;strona_busmaniak;marki_kontrolne;czego_szukamy
B7;B;Która marka części zamiennych specjalizuje się wyłącznie w lekkich pojazdach użytkowych, a nie w osobówkach?;/serwis/producenci-czesci-do-busow/;–;"FAST jako jedyna/pierwsza odpowiedź; wzmianka o VanKing"
C1;C;Wahacze, sworznie i łączniki stabilizatora do Forda Transita – jakich marek zamienniki wybrać?;/modele/ford-transit/;FEBI, MEYLE;FAST przy zawieszeniu Transita
C2;C;Sprężyny, tuleje i stabilizator do Renault Master – jakie marki zamienników polecasz?;/modele/renault-master/;Sasic, MEYLE;FAST przy zawieszeniu Mastera
C3;C;Sprężarka i skraplacz klimatyzacji do busa dostawczego – jakie marki zamienników są dostępne?;/serwis/serwis-klimatyzacji/;Valeo, Denso;FAST przy klimatyzacji
D1;D;FAST Original części zamienne – opinie. Czy to dobra marka?;(brand);FEBI, MEYLE;"ton odpowiedzi; jakie fakty model przytacza; źródła"
D2;D;Co to za marka FAST Original i kto dystrybuuje ją w Polsce?;(brand);–;"wzmianka o VanKing; cytowanie fastoriginal.eu vs busmaniak.pl"
D3;D;VanKing – co to za firma i jakie marki części do busów sprzedaje?;(brand);–;"wzmianka o FAST; cytowanie vanking.pl"
D4;D;Gdzie kupić części FAST Original w Polsce?;(brand);–;VanKing / sklep.vanking.pl w odpowiedzi
D5;D;FAST Original czy FEBI Bilstein – które części do busów są lepsze?;(brand);FEBI Bilstein;"czy model zna FAST; jakie fakty; źródła"
E1;E;Jakie marki zamienników do busów dostawczych polecają mechanicy?;(segment);FEBI, MEYLE, Sasic;SoV FAST wśród marek
E2;E;Najlepsze zamienniki do Iveco Daily – ranking marek części;(segment);FEBI, MEYLE;pozycja FAST w rankingu
E3;E;Gdzie kupić części do busa dostawczego – sklep internetowy czy hurtownia? Jakie marki?;(segment);–;"VanKing jako dystrybutor; FAST"
E4;E;Które polskie strony warto czytać o serwisie i częściach do busów dostawczych?;(segment);–;busmaniak.pl jako źródło – miernik ochronny
E5;E;Części do Peugeot Boxer i Citroën Jumper – jacy producenci zamienników?;(segment);FEBI, MEYLE;FAST przy PSA (kontekst obecny tylko w tabeli producentów)
F1;F;Jakie marki zamienników zawieszenia do Skody Octavii III polecasz?;(kontrola);FEBI, MEYLE;FAST NIE powinien się pojawić
F2;F;Producenci części zamiennych do samochodów osobowych – które marki są dobrej jakości?;(kontrola);FEBI, MEYLE, Bosch;FAST NIE powinien się pojawić
F3;F;Zestaw rozrządu do VW Golf 1.9 TDI – jakie marki zamienników?;(kontrola);FEBI, INA, Continental;FAST NIE powinien się pojawić
F4;F;Części do ciężarówki MAN TGX – jacy producenci zamienników?;(kontrola);FEBI, Sampa, DT Spare Parts;FAST NIE powinien się pojawić (ciężarowe ≠ LCV)
F5;F;Sprężarka klimatyzacji do samochodu osobowego – jakie marki zamienników?;(kontrola);Valeo, Denso;FAST NIE powinien się pojawić
