"SEKCJA","ZADANIE / ELEMENT","WYKONAWCA","CZAS / RBH","PRIORYTET","TYP","ILOŚĆ NA START","DOCELOWO","STATUS"
"ETAP 1: SETUP PORTALU (per portal)","Zalozenie kont social media + warming","Mateusz","2h","","","","","Per portal"
"","","","","","","","",""
"ETAP 2: RESEARCH I KLASTRY (per portal)","Seed keywords z Senuto API","Claude Code","1h","","","","","Per portal"
"ETAP 2: RESEARCH I KLASTRY (per portal)","Query fan-out (PAA + related searches + long-tail)","Claude Code","2h","","","","","Per portal"
"ETAP 2: RESEARCH I KLASTRY (per portal)","SERP scraping i analiza konkurencji top10","Claude Code","2h","","","","","Per portal"
"ETAP 2: RESEARCH I KLASTRY (per portal)","Clusterowanie fraz i budowa mapy klastrow","Claude Code","4h","","","","","Per portal"
"ETAP 2: RESEARCH I KLASTRY (per portal)","Identyfikacja encji per klaster","Claude Code","2h","","","","","Per portal"
"ETAP 2: RESEARCH I KLASTRY (per portal)","Akceptacja mapy klastrow","Mateusz","1h","","","","","Per portal"
"","","","","","","","",""
"ETAP 3: PRODUKCJA CONTENTU (ciagla)","Generowanie artykulow (5-7/dzien/portal)","Claude Code","ongoing","","","","","Automatyczne"
"ETAP 3: PRODUKCJA CONTENTU (ciagla)","Weryfikacja encji i jakosci","Claude Code","ongoing","","","","","Automatyczne"
"ETAP 3: PRODUKCJA CONTENTU (ciagla)","Publikacja (git push -> Cloudflare)","Claude Code","ongoing","","","","","Automatyczne"
"ETAP 3: PRODUKCJA CONTENTU (ciagla)","Dystrybucja social media","Claude Code","ongoing","","","","","Automatyczne"
"ETAP 3: PRODUKCJA CONTENTU (ciagla)","Losowy audyt jakosci artykulow","Mateusz","2h/tyg.","","","","","Cykliczne"
"","","","","","","","",""
"ETAP 4: MONITORING I LINKOWANIE","Monitoring indeksacji (GSC)","Claude Code","ongoing","","","","","Automatyczne"
"ETAP 4: MONITORING I LINKOWANIE","Monitoring pozycji (Senuto)","Claude Code + TC","ongoing","","","","","Automatyczne"
"ETAP 4: MONITORING I LINKOWANIE","Sprawdzanie cytowan AI Overviews","Mateusz","1h/tyg.","","","","","Recznie (Senuto)"
"ETAP 4: MONITORING I LINKOWANIE","Matching fraza klienta -> portal tematyczny","Mateusz","ongoing","","","","","Po dojrzalosci portalu"
"ETAP 4: MONITORING I LINKOWANIE","Generowanie artykulow kontekstowych z linkami","Claude Code","ongoing","","","","","Po matchingu"
"","","","","","","","",""
"TYPY PORTALI","Portal tematyczny Typ A (poradnikowy)","","","","Poradniki / how-to / FAQ","5","50+","Nowa siec BWP"
"TYPY PORTALI","Portal tematyczny Typ B (rankingowy)","","","","Rankingi / porownania / Top X","5","50+","Nowa siec BWP"
"TYPY PORTALI","Portal Kombajn (aktualnosci + rankingi + poradniki)","","","","Mix","1","kilka","Do rozwazenia"
"TYPY PORTALI","Panorama Firm 2.0 (katalog firm)","","","","Profile firm + opinie","1","kilka","Tomek buduje"
"TYPY PORTALI","Tematyczny katalog firm","","","","Branzowy","1","kilka","Tomek buduje"
"TYPY PORTALI","Lokalny katalog firm","","","","Regionalny","1","kilka","Tomek buduje"
"","","","","","","","",""
"PRZYKLADOWE NISZE","Szamba i oczyszczalnie","","","","Typ A + B","","","Do ustalenia"
"PRZYKLADOWE NISZE","Pompy ciepla i ogrzewanie","","","","Typ A + B","","","Do ustalenia"
"PRZYKLADOWE NISZE","Nawozy i ochrona roslin","","","","Typ A + B","","","Do ustalenia"
"PRZYKLADOWE NISZE","Meble ogrodowe","","","","Typ A + B","","","Do ustalenia"
"PRZYKLADOWE NISZE","Ogrodzenia i bramy","","","","Typ A + B","","","Do ustalenia"
"PRZYKLADOWE NISZE","Finanse osobiste","","","","Typ A + B","","","YMYL - realny autor"
"PRZYKLADOWE NISZE","Prawo i podatki","","","","Typ A + B","","","YMYL - realny autor"
"PRZYKLADOWE NISZE","Motoryzacja - czesci","","","","Typ A + B","","","Do ustalenia"
"PRZYKLADOWE NISZE","Motoryzacja - opony","","","","Typ A + B","","","Do ustalenia"
"PRZYKLADOWE NISZE","Detailing i pielegnacja aut","","","","Typ A + B","","","Do ustalenia"
"PRZYKLADOWE NISZE","Moda damska","","","","Typ A + B","","","Do ustalenia"
"PRZYKLADOWE NISZE","Zdrowie i fitness","","","","Typ A + B","","","YMYL - realny autor"
