"URL","Title","H1","Fraza główna","Wolumen głównej","Frazy dodatkowe (SERP+DFSE)","Wolumeny dodatkowych","Podstrony silnikowe (box linkowania)","Typ","Parent model","Klaster"
"/modele/dacia-dokker/","Dacia Dokker – generacje, wersje, dane techniczne | BusManiak.pl","Dacia Dokker – kompletny przewodnik po modelu","dacia dokker","14800","dacia dokker wymiary; dacia dokker wymiary paki; dacia dokker van; dacia van; dacia dokker stepway; dacia dokker 2025; dacia dokker opinie; dacia dokker wymiary bagażnika; dacia dokker cena nowy; dokker dacia","1600; 1300; 720; 480; 390; 320; 320; 260; 260; 260","","page","","modele"
"/modele/peugeot-rifter/","Peugeot Rifter – generacje, wersje, dane techniczne | BusManiak.pl","Peugeot Rifter – kompletny przewodnik po modelu","peugeot rifter","8100","peugeot rifter long; peugeot rifter opinie; peugeot rifter long 7-osobowy; peugeot rifter long 7 osobowy; peugeot rifter 2025; peugeot rifter 2024; peugeot rifter wymiary; peugeot rifter 7-osobowy; peugeot e rifter; peugeot rifter 7 osobowy","720; 260; 260; 260; 260; 210; 170; 170; 170; 170","","page","","modele"
"/modele/volkswagen-multivan/","Volkswagen Multivan – generacje, wersje, dane techniczne | BusManiak.pl","Volkswagen Multivan – kompletny przewodnik po modelu","volkswagen multivan","6600","multivan volkswagen; vw multivan; volkswagen multivan t7; volkswagen t6 multivan; volkswagen t5 multivan; volkswagen t4 multivan; volkswagen multivan 2025; vw t5 long wymiary; volkswagen multivan family; vw multivan t7","6600; 5400; 2400; 1900; 720; 590; 590; 480; 480; 390","","page","","modele"
"/modele/toyota-proace-verso/","Toyota Proace Verso – wersje, dane techniczne, ceny | BusManiak.pl","Toyota Proace Verso – kompletny przewodnik po modelu","toyota proace verso","8100","toyota proace city verso; toyota proace city verso long; toyota proace verso long; toyota proace city verso 7 osobowy; toyota proace city verso 7-osobowy; toyota proace verso wymiary; toyota proace verso family long; toyota proace verso long 9-os; toyota proace verso vip; toyota proace city verso 1.5 d-4d","6600; 590; 480; 390; 390; 320; 320; 320; 320; 320","","page","","modele"
"/modele/volkswagen-california/","Volkswagen California – generacje, wersje, dane techniczne | BusManiak.pl","Volkswagen California – kompletny przewodnik po modelu","volkswagen california","22200","california; california volkswagen; vw california; volkswagen california 2025; vw california 6.1; volkswagen california 6.1; volkswagen california ocean; volkswagen grand california; vw california cena; camper volkswagen california","27100; 22200; 18100; 9900; 1600; 1600; 1600; 1600; 880; 880","","page","","modele"
"/modele/ford-ranger/","Ford Ranger – dane techniczne, wersje, opinie | BusManiak.pl","Ford Ranger – kompletny przewodnik","ford ranger","33100","ford ranger raptor; raptor ford ranger; ranger ford raptor; ford ranger wildtrak; 2025 ford ranger; ranger ford; ford ranger 2025; ford ranger ceną; ford ranger cena; rangera","8100; 8100; 8100; 1600; 880; 880; 880; 720; 720; 590","","page","","modele"
"/modele/volkswagen-amarok/","Volkswagen Amarok – dane techniczne, wersje, opinie | BusManiak.pl","Volkswagen Amarok – kompletny przewodnik","volkswagen amarok","12100","amarok auto; volkswagen volkswagen amarok; vw amarok; volkswagen pickup amarok; vw pickup; volkswagen pickup; amarok volkswagen; volkswagen amarok 2025; nowy amarok; volkswagen amarok opinie","12100; 12100; 12100; 12100; 1900; 1900; 880; 390; 260; 260","","page","","modele"
"/modele/ford-e-transit/","Ford E-Transit – dane techniczne, zasięg, cena | BusManiak.pl","Ford E-Transit – elektryczny dostawczy","ford e-transit","2400","ford e transit; e transit; ford transit masa własna; transit elektryczny; ford transit elektryczny cena; ford transit electric; ford dostawczy elektryczny; masa ford transit; ford transit masa całkowita","390; 210; 110; 90; 50; 40; 30; 10; 10","","page","","modele"
"/modele/mercedes-esprinter/","Mercedes eSprinter – dane techniczne, zasięg, cena | BusManiak.pl","Mercedes eSprinter – elektryczny dostawczy","mercedes esprinter","1300","mercedes sprinter dane techniczne; sprinter maxi; mb sprinter; mercedes sprinter maxi long wymiary; sprinter 904; mercedes sprinter maxi long wymiary paki; mercedes sprinter w906; mercedes sprinter waga; sprinter elektryczny; mercedes sprinter l4h3 wymiary","260; 210; 170; 140; 110; 110; 110; 110; 90; 90","","page","","modele"
"/modele/volkswagen-id-buzz/","Volkswagen ID.Buzz – dane techniczne, zasięg, cena | BusManiak.pl","Volkswagen ID.Buzz – elektryczny dostawczy","volkswagen id.buzz","4400","vw bus elektryczny; volkswagen elektryczny van; id bus; id buzz wymiary; volkswagen id buzz zasięg; vw id buzz zasięg; vw id bus; vw id buzz dane techniczne; vw id buzz wymiary; vw elektryczny id buzz","480; 320; 210; 140; 140; 110; 70; 50; 50; 50","","page","","modele"
"/porownania/busy-vany-4x4/","Busy i vany 4x4 – modele z napędem na cztery koła | BusManiak.pl","Busy i vany 4x4 – kompletny przegląd modeli","busy 4x4","10000","iveco daily 4x4; mercedes sprinter 4x4; volkswagen caddy 4x4; ford transit 4x4; mercedes vito 4x4; man tge 4x4; volkswagen transporter 4x4; peugeot partner 4x4; fiat ducato 4x4; volkswagen crafter 4x4","1600; 1300; 1000; 720; 590; 480; 480; 390; 320; 320","","page","","porownania"
"/serwis/bezpieczniki-busy/","Bezpieczniki w busach – schematy, opisy, lokalizacja | BusManiak.pl","Bezpieczniki w busach – kompletny przewodnik","bezpieczniki bus","2500","iveco daily bezpieczniki opis; fiat ducato bezpieczniki opis; renault master bezpieczniki opis; fiat ducato opis przekaźników; iveco daily bezpieczniki po polsku; peugeot boxer bezpieczniki opis","590; 480; 480; 390; 390; 320","","post","","serwis"
"/modele/fiat-ducato/2-3-multijet/","Fiat Ducato 2.3 MultiJet – dane techniczne, spalanie, opinie | BusManiak.pl","Fiat Ducato 2.3 MultiJet – dane techniczne i opinie","fiat ducato 2.3 multijet","880","","","","page","fiat-ducato","modele"
"/modele/fiat-ducato/3-0-multijet/","Fiat Ducato 3.0 MultiJet – dane techniczne, spalanie, opinie | BusManiak.pl","Fiat Ducato 3.0 MultiJet – dane techniczne i opinie","fiat ducato 3.0","480","","","","page","fiat-ducato","modele"
"/modele/fiat-ducato/2-2-multijet/","Fiat Ducato 2.2 MultiJet – dane techniczne, spalanie, opinie | BusManiak.pl","Fiat Ducato 2.2 MultiJet – dane techniczne i opinie","fiat ducato 2.2 opinie o silniku","210","","","","page","fiat-ducato","modele"
"/modele/fiat-ducato/2-8-jtd/","Fiat Ducato 2.8 JTD – dane techniczne, spalanie, opinie | BusManiak.pl","Fiat Ducato 2.8 JTD – dane techniczne i opinie","fiat ducato 2.8 jtd","210","","","","page","fiat-ducato","modele"
"/modele/peugeot-partner/1-6-hdi/","Peugeot Partner 1.6 HDI – dane techniczne, spalanie, opinie | BusManiak.pl","Peugeot Partner 1.6 HDI – dane techniczne i opinie","peugeot partner 1.6 hdi","2900","","","","page","peugeot-partner","modele"
"/modele/peugeot-boxer/2-2-hdi/","Peugeot Boxer 2.2 HDI – dane techniczne, spalanie, opinie | BusManiak.pl","Peugeot Boxer 2.2 HDI – dane techniczne i opinie","peugeot boxer 2.2 hdi","1600","","","","page","peugeot-boxer","modele"
"/modele/peugeot-boxer/2-0-hdi/","Peugeot Boxer 2.0 HDI – dane techniczne, spalanie, opinie | BusManiak.pl","Peugeot Boxer 2.0 HDI – dane techniczne i opinie","peugeot boxer 2.0 hdi","390","","","","page","peugeot-boxer","modele"
"/modele/peugeot-expert/2-0-hdi/","Peugeot Expert 2.0 HDI – dane techniczne, spalanie, opinie | BusManiak.pl","Peugeot Expert 2.0 HDI – dane techniczne i opinie","peugeot expert 2.0 hdi","1300","","","","page","peugeot-expert","modele"
"/modele/opel-vivaro/2-0-cdti/","Opel Vivaro 2.0 CDTI – dane techniczne, spalanie, opinie | BusManiak.pl","Opel Vivaro 2.0 CDTI – dane techniczne i opinie","opel vivaro 2.0 cdti","1000","","","","page","opel-vivaro","modele"
"/modele/opel-vivaro/1-9-cdti/","Opel Vivaro 1.9 CDTI – dane techniczne, spalanie, opinie | BusManiak.pl","Opel Vivaro 1.9 CDTI – dane techniczne i opinie","opel vivaro 1.9 cdti","590","","","","page","opel-vivaro","modele"
"/modele/opel-vivaro/2-5-cdti/","Opel Vivaro 2.5 CDTI – dane techniczne, spalanie, opinie | BusManiak.pl","Opel Vivaro 2.5 CDTI – dane techniczne i opinie","opel vivaro 2.5 cdti","320","","","","page","opel-vivaro","modele"
"/modele/opel-combo/1-6-cdti/","Opel Combo 1.6 CDTI – dane techniczne, spalanie, opinie | BusManiak.pl","Opel Combo 1.6 CDTI – dane techniczne i opinie","opel combo 1.6","720","","","","page","opel-combo","modele"
"/modele/opel-combo/1-3-cdti/","Opel Combo 1.3 CDTI – dane techniczne, spalanie, opinie | BusManiak.pl","Opel Combo 1.3 CDTI – dane techniczne i opinie","opel combo 1.3 cdti","480","","","","page","opel-combo","modele"
"/modele/opel-movano/2-5-cdti/","Opel Movano 2.5 CDTI – dane techniczne, spalanie, opinie | BusManiak.pl","Opel Movano 2.5 CDTI – dane techniczne i opinie","opel movano 2.5 cdti","480","","","","page","opel-movano","modele"
"/modele/iveco-daily/3-0/","Iveco Daily 3.0 – dane techniczne, spalanie, opinie | BusManiak.pl","Iveco Daily 3.0 – dane techniczne i opinie","iveco daily 3.0","2900","","","","page","","modele"
"/modele/fiat-fiorino/1-3-multijet/","Fiat Fiorino 1.3 MultiJet – dane techniczne, spalanie, opinie | BusManiak.pl","Fiat Fiorino 1.3 MultiJet – dane techniczne i opinie","fiat fiorino 1.3 multijet","480","","","","page","fiat-fiorino","modele"
"/modele/volkswagen-crafter/2-0-tdi/","Volkswagen Crafter 2.0 TDI – dane techniczne, spalanie, opinie | BusManiak.pl","Volkswagen Crafter 2.0 TDI – dane techniczne i opinie","volkswagen crafter 2.0 tdi","390","","","","page","volkswagen-crafter","modele"
"/modele/renault-kangoo/1-5-dci/","Renault Kangoo 1.5 dCi – dane techniczne, spalanie, opinie | BusManiak.pl","Renault Kangoo 1.5 dCi – dane techniczne i opinie","renault kangoo 1.5 dci","480","","","","page","renault-kangoo","modele"
"/modele/fiat-ducato/9-osobowy/","Fiat Ducato 9-osobowy – wersja pasażerska, prawo jazdy, ceny | BusManiak.pl","Fiat Ducato 9-osobowy – kompletny przewodnik","9 osobowy","480","","","","page","fiat-ducato","modele"
"/modele/fiat-ducato/brygadowka/","Fiat Ducato brygadówka – wersja dla ekip budowlanych | BusManiak.pl","Fiat Ducato brygadówka – kompletny przewodnik","brygadowka","480","","","","page","fiat-ducato","modele"
"/modele/fiat-ducato/skrzyniowy/","Fiat Ducato skrzyniowy – podwozie, wymiary, ładowność | BusManiak.pl","Fiat Ducato skrzyniowy – przegląd wersji","skrzyniowy","320","","","","page","fiat-ducato","modele"
"/modele/fiat-ducato/plandeka/","Fiat Ducato plandeka – wymiary, ładowność, zastosowania | BusManiak.pl","Fiat Ducato plandeka – przegląd wersji","plandeka","320","","","","page","fiat-ducato","modele"
"/modele/fiat-ducato/blaszak/","Fiat Ducato blaszak – furgon, wymiary paki, ładowność | BusManiak.pl","Fiat Ducato blaszak – przegląd wersji","blaszak","320","","","","page","fiat-ducato","modele"
"/modele/fiat-ducato/kontener/","Fiat Ducato kontener – zabudowa kontenerowa, wymiary | BusManiak.pl","Fiat Ducato kontener – przegląd zabudowy","kontener","260","","","","page","fiat-ducato","modele"
"/modele/fiat-ducato/doka/","Fiat Ducato doka – podwójna kabina z platformą | BusManiak.pl","Fiat Ducato doka – przegląd wersji","doka","260","","","","page","fiat-ducato","modele"
