URL	Title	H1	Fraza główna	Wolumen głównej	Frazy dodatkowe (SERP+DFSE)	Wolumeny dodatkowych
/modele/opel-vivaro/	Opel Vivaro – generacje, wersje, dane techniczne | BusManiak.pl	Opel Vivaro – kompletny przewodnik po modelu	opel vivaro	27100	vivaro opel; opel vivaro 9-osobowy; opel vivaro 9 osobowy; opel vivaro long; opel vivaro wymiary; opel vivaro westfalia; opel vivaro b; opel vivaro brygadówka; opel vivaro long 9-osobowy; opel vivaro blaszak	27100; 2900; 2900; 1000; 880; 720; 480; 480; 390; 390
/modele/citroen-jumpy/	Citroën Jumpy – generacje, wersje, dane techniczne | BusManiak.pl	Citroën Jumpy – kompletny przewodnik po modelu	citroën jumpy	22200	citroen jumpy; citroën jumpy wymiary; jumpy; citroen jumpy wymiary paki; citroen jumpy long; peugeot jumpy; citroen jumpy dane techniczne; jumpy wymiary; citroen jumpy 1; citroen jumpy 2	18100; 720; 720; 320; 210; 140; 110; 110; 110; 90
/modele/peugeot-expert/	Peugeot Expert – generacje, wersje, dane techniczne | BusManiak.pl	Peugeot Expert – kompletny przewodnik po modelu	peugeot expert	9900	peugeot expert wymiary; peugeot expert long; peugeot expert 9 osobowy; expert peugeot; peugeot expert wymiary paki; peugeot expert travel; peugeot expert tepee; peugeot expert traveller; peugeot expert opinie; peugeot expert osobowy	590; 390; 390; 320; 260; 260; 260; 260; 210; 210
/modele/mercedes-vito/	Mercedes Vito – generacje, wersje, dane techniczne | BusManiak.pl	Mercedes Vito – kompletny przewodnik po modelu	mercedes vito	18100	mb vito; merc vito; mercedes benz vito; mercedes-benz vito; mercedes vito 9 osobowy; mercedes vito tourer; vito mercedes; mercedes vito wymiary; mercedes vito 2025; mercedes vito osobowy	22200; 22200; 2900; 2900; 1900; 1300; 1300; 480; 480; 390
/modele/ford-transit-custom/	Ford Transit Custom – generacje, wersje, dane techniczne | BusManiak.pl	Ford Transit Custom – kompletny przewodnik po modelu	ford transit custom	22200	ford custom; transit custom; ford transit custom wymiary; ford transit custom dostawcze; ford transit custom 9-osobowy; ford transit custom 9 osobowy; ford transit custom l2h1 wymiary; ford transit custom 2024; ford transit custom sport; ford transit custom opinie	8100; 2400; 880; 720; 480; 480; 390; 390; 320; 320
/modele/volkswagen-transporter/	Volkswagen Transporter – generacje, wersje, dane techniczne | BusManiak.pl	Volkswagen Transporter – kompletny przewodnik po modelu	volkswagen transporter	12100	volkswagen transporter t5; vw transporter t5; volkswagen transporter t4; vw transporter t6; volkswagen transporter t6; volkswagen t7 transporter; t5 volkswagen transporter; transporter t5; volkswagen transporter t3; volkswagen transporter t4 2.5 tdi	5400; 4400; 3600; 2900; 2900; 2400; 1900; 1600; 1000; 1000
/modele/fiat-scudo/	Fiat Scudo – generacje, wersje, dane techniczne | BusManiak.pl	Fiat Scudo – kompletny przewodnik po modelu	fiat scudo	14800	scudo fiat; scudo; fiat scudo 9 osobowy; fiat scudo wymiary; fiat scudo 2025; fiat scudo opinie; fiat scudo wymiary paki; fiat scudo osobowy; fiat scudo long; fiat scudo 2024	14800; 1300; 880; 590; 480; 390; 320; 320; 260; 260
/modele/hyundai-staria/	Hyundai Staria – wersje, dane techniczne, ceny | BusManiak.pl	Hyundai Staria – kompletny przewodnik po modelu	hyundai staria	9900	hyundai staria cena; hyundai staria wnętrze; hyundai staria wymiary; hyundai staria interior; hyundai staria dane techniczne; hyundai staria w polsce	880; 390; 170; 170; 50; 30
/modele/nissan-nv300/	Nissan NV300 – wersje, dane techniczne, ceny | BusManiak.pl	Nissan NV300 – kompletny przewodnik po modelu	nissan nv300	1300	nv300; nissan nv300 wymiary	50; 30
/modele/citroen-berlingo/	Citroën Berlingo – generacje, wersje, dane techniczne | BusManiak.pl	Citroën Berlingo – kompletny przewodnik po modelu	citroën berlingo	40500	citroen berlingo; cıtroen berlingo; berlingo; berlingo 2; citroen berlingo 2; citroën berlingo 2; citroen multispace berlingo; citroën berlingo van; citroen berlingo wymiary; citroen citroen berlingo	33100; 33100; 8100; 1000; 1000; 1000; 720; 720; 590; 590
/modele/peugeot-partner/	Peugeot Partner – generacje, wersje, dane techniczne | BusManiak.pl	Peugeot Partner – kompletny przewodnik po modelu	peugeot partner	22200	1.6 hdi peugeot partner; peugeot tepee partner; peugeot partner tepee; partner peugeot; peugeot partner long; peugeot partner tepee 1.6 hdi; peugeot partner 2; peugeot partner 1; peugeot partner 2025; peugeot partner wikipedia	2900; 1600; 1600; 880; 880; 720; 590; 390; 390; 320
/modele/renault-kangoo/	Renault Kangoo – generacje, wersje, dane techniczne | BusManiak.pl	Renault Kangoo – kompletny przewodnik po modelu	renault kangoo	22200	kangoo; renault kangoo 1.5 dci; renault kangoo 4x4; renault 4x4 kangoo; kangoo renault 4x4; kangoo renault; renault kangoo 2; renault kangoo max; renault kangoo maxi; renault kangoo 2025	2900; 1600; 1600; 1600; 1600; 1000; 880; 880; 880; 720
/modele/opel-combo/	Opel Combo – generacje, wersje, dane techniczne | BusManiak.pl	Opel Combo – kompletny przewodnik po modelu	opel combo	18100	opel combo van; combo opel; combo; opel combo c van; opel combo c; opel combo life; opel combo 1.6; opel combo d van; opel combo d; opel combo maxi	18100; 18100; 5400; 1300; 1300; 880; 720; 590; 590; 390
/modele/volkswagen-caddy/	Volkswagen Caddy – generacje, wersje, dane techniczne | BusManiak.pl	Volkswagen Caddy – kompletny przewodnik po modelu	volkswagen caddy	40500	vw caddy; caddy vw van; volkswagen volkswagen caddy; caddy; volkswagen caddy maxi; caddy volkswagen; volkswagen caddy 2025; volkswagen caddy wymiary; volkswagen caddy 7 osobowy; volkswagen caddy 3	40500; 40500; 40500; 8100; 3600; 1900; 880; 720; 720; 720
/modele/ford-transit-connect/	Ford Transit Connect – generacje, wersje, dane techniczne | BusManiak.pl	Ford Transit Connect – kompletny przewodnik po modelu	ford transit connect	12100	transit connect ford; ford van transit connect; ford connect; transit connect; ford transit connect long; ford connect long; ford transit connect wymiary; ford transit connect l2; ford connect l2; ford connect wymiary	12100; 9900; 8100; 2400; 720; 590; 390; 260; 210; 210
/modele/ford-transit-courier/	Ford Transit Courier – wersje, dane techniczne, ceny | BusManiak.pl	Ford Transit Courier – kompletny przewodnik po modelu	ford transit courier	4400	ford transit courier van; ford courier van; ford transit courier kombi; ford courier transit; transit courier ford; transit courier; ford transit courier wymiary; ford transit courier 5-osobowy; ford transit courier 5 osobowy; ford transit courier wymiary przestrzeni ładunkowej	4400; 4400; 4400; 4400; 4400; 880; 210; 140; 140; 110
/modele/mercedes-citan/	Mercedes Citan – wersje, dane techniczne, ceny | BusManiak.pl	Mercedes Citan – kompletny przewodnik po modelu	mercedes citan	8100	mb citan; mercedes benz citan; mercedes-benz citan; citan tourer mercedes; citan mercedes; citan; mercedes citan opinie; mercedes citan tourer; mercedes benz citan long; mercedes citan long	8100; 8100; 8100; 8100; 8100; 720; 260; 210; 210; 210
/modele/toyota-proace-city/	Toyota Proace City – wersje, dane techniczne, ceny | BusManiak.pl	Toyota Proace City – kompletny przewodnik po modelu	toyota proace city	18100	toyota proace city verso; toyota proace city long; toyota proace city verso long; toyota proace city verso 7 osobowy; toyota proace city verso 7-osobowy; toyota proace city wymiary; toyota proace city verso 1.5 d-4d; toyota proace city opinie; toyota proace city furgon; toyota proace city 2025	6600; 1000; 590; 390; 390; 320; 320; 320; 260; 260
/modele/nissan-nv200/	Nissan NV200 – generacje, wersje, dane techniczne | BusManiak.pl	Nissan NV200 – kompletny przewodnik po modelu	nissan nv200	4400	nissan e nv200; nissan e-nv200; nissan nv200 wymiary; nissan nv200 opinie; nissan nv200 7 osobowy; nissan nv200 wymiary paki; nissan evalia nv200; nissan nv200 1.6 benzyna; nissan nv200 1.5 dci opinie; nissan nv200 opinie forum	390; 390; 260; 260; 140; 110; 110; 110; 110; 110
/modele/fiat-fiorino/	Fiat Fiorino – generacje, wersje, dane techniczne | BusManiak.pl	Fiat Fiorino – kompletny przewodnik po modelu	fiat fiorino	9900	fiorino fiat; fiorino; fiat fiorino wymiary paki; fiat fiorino 1.4 benzyna; fiat fiorino wymiary; fiat fiorino qubo; fiat fiorino opinie; fiorino wymiary paki; fiat fiorino 5 osobowy; fiat fiorino dane techniczne	9900; 1300; 390; 320; 210; 140; 140; 90; 90; 70
/modele/fiat-doblo/	Fiat Doblò – generacje, wersje, dane techniczne | BusManiak.pl	Fiat Doblò – kompletny przewodnik po modelu	fiat doblò	27100	fiat doblo; fiat doblo maxi; doblo; doblo maxi; fiat doblo wiki; fiat doblo 2; fiat doblo 7 osób; doblo maxi wymiary; fiat doblo wymiary paki; fiat doblo wymiary przestrzeni ladunkowej	27100; 5400; 1900; 1000; 480; 320; 320; 320; 260; 260
/modele/dacia-dokker/	Dacia Dokker – generacje, wersje, dane techniczne | BusManiak.pl	Dacia Dokker – kompletny przewodnik po modelu	dacia dokker	14800	dacia dokker wymiary; dacia dokker wymiary paki; dacia dokker van; dacia van; dacia dokker stepway; dacia dokker 2025; dacia dokker opinie; dacia dokker wymiary bagażnika; dacia dokker cena nowy; dokker dacia	1600; 1300; 720; 480; 390; 320; 320; 260; 260; 260
/modele/peugeot-rifter/	Peugeot Rifter – generacje, wersje, dane techniczne | BusManiak.pl	Peugeot Rifter – kompletny przewodnik po modelu	peugeot rifter	8100	peugeot rifter long; peugeot rifter opinie; peugeot rifter long 7-osobowy; peugeot rifter long 7 osobowy; peugeot rifter 2025; peugeot rifter 2024; peugeot rifter wymiary; peugeot rifter 7-osobowy; peugeot e rifter; peugeot rifter 7 osobowy	720; 260; 260; 260; 260; 210; 170; 170; 170; 170
/modele/volkswagen-multivan/	Volkswagen Multivan – generacje, wersje, dane techniczne | BusManiak.pl	Volkswagen Multivan – kompletny przewodnik po modelu	volkswagen multivan	6600	multivan volkswagen; vw multivan; volkswagen multivan t7; volkswagen t6 multivan; volkswagen t5 multivan; volkswagen t4 multivan; volkswagen multivan 2025; vw t5 long wymiary; volkswagen multivan family; vw multivan t7	6600; 5400; 2400; 1900; 720; 590; 590; 480; 480; 390
/modele/toyota-proace-verso/	Toyota Proace Verso – wersje, dane techniczne, ceny | BusManiak.pl	Toyota Proace Verso – kompletny przewodnik po modelu	toyota proace verso	8100	toyota proace city verso; toyota proace city verso long; toyota proace verso long; toyota proace city verso 7 osobowy; toyota proace city verso 7-osobowy; toyota proace verso wymiary; toyota proace verso family long; toyota proace verso long 9-os; toyota proace verso vip; toyota proace city verso 1.5 d-4d	6600; 590; 480; 390; 390; 320; 320; 320; 320; 320
/modele/volkswagen-california/	Volkswagen California – generacje, wersje, dane techniczne | BusManiak.pl	Volkswagen California – kompletny przewodnik po modelu	volkswagen california	22200	california; california volkswagen; vw california; volkswagen california 2025; vw california 6.1; volkswagen california 6.1; volkswagen california ocean; volkswagen grand california; vw california cena; camper volkswagen california	27100; 22200; 18100; 9900; 1600; 1600; 1600; 1600; 880; 880
/modele/ford-ranger/	Ford Ranger – dane techniczne, wersje, opinie | BusManiak.pl	Ford Ranger – kompletny przewodnik	ford ranger	33100	ford ranger raptor; raptor ford ranger; ranger ford raptor; ford ranger wildtrak; 2025 ford ranger; ranger ford; ford ranger 2025; ford ranger ceną; ford ranger cena; rangera	8100; 8100; 8100; 1600; 880; 880; 880; 720; 720; 590
/modele/volkswagen-amarok/	Volkswagen Amarok – dane techniczne, wersje, opinie | BusManiak.pl	Volkswagen Amarok – kompletny przewodnik	volkswagen amarok	12100	amarok auto; volkswagen volkswagen amarok; vw amarok; volkswagen pickup amarok; vw pickup; volkswagen pickup; amarok volkswagen; volkswagen amarok 2025; nowy amarok; volkswagen amarok opinie	12100; 12100; 12100; 12100; 1900; 1900; 880; 390; 260; 260
/modele/ford-e-transit/	Ford E-Transit – dane techniczne, zasięg, cena | BusManiak.pl	Ford E-Transit – elektryczny dostawczy	ford e-transit	2400	ford e transit; e transit; ford transit masa własna; transit elektryczny; ford transit elektryczny cena; ford transit electric; ford dostawczy elektryczny; masa ford transit; ford transit masa całkowita	390; 210; 110; 90; 50; 40; 30; 10; 10
/modele/mercedes-esprinter/	Mercedes eSprinter – dane techniczne, zasięg, cena | BusManiak.pl	Mercedes eSprinter – elektryczny dostawczy	mercedes esprinter	1300	mercedes sprinter dane techniczne; sprinter maxi; mb sprinter; mercedes sprinter maxi long wymiary; sprinter 904; mercedes sprinter maxi long wymiary paki; mercedes sprinter w906; mercedes sprinter waga; sprinter elektryczny; mercedes sprinter l4h3 wymiary	260; 210; 170; 140; 110; 110; 110; 110; 90; 90
/modele/volkswagen-id-buzz/	Volkswagen ID.Buzz – dane techniczne, zasięg, cena | BusManiak.pl	Volkswagen ID.Buzz – elektryczny dostawczy	volkswagen id.buzz	4400	vw bus elektryczny; volkswagen elektryczny van; id bus; id buzz wymiary; volkswagen id buzz zasięg; vw id buzz zasięg; vw id bus; vw id buzz dane techniczne; vw id buzz wymiary; vw elektryczny id buzz	480; 320; 210; 140; 140; 110; 70; 50; 50; 50
